"Allergens  Menu Items                                                                                                   Salt located on tables contain Salt, Dextrose, Potassium Iodide, Sodium Bicarbonate, Yellow Prussiate of Soda.  Salt used in kitchen is  Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda].   Mycoprotein is a old.(member of the fungi family. There have been rare cases of allergic reactin to products that contain Mycoprotein. Quorn™ is a Mycoprotein produced using a fermentation process very similar to brewing; the solid is harvested as opposed to the liquid. Processed in a facility that handles milk.                                     ",,Egg,Fish/ Shellfish,"Nitrites, Nitrate, Sodium Erythrobate, Carrageenan ",Corn in original form,"Corn Syrup, Corn Flour or meal, Corn Starch",Corn oil,Corn Variations,Vinegar,Milk/Dairy,MSG,Soybean  Oil,Soy Lecithin,Soy,Tree Nuts/Peanuts,Peanut oil,Capers,Sesame,"Wheat, Barley, Rye, Oats","Lima,lentil, Fava,                   black eyed peas,             garbanzo beans ",Mushroom, Yeast or Spice Extract ,Hydrolyzed Protein,Yeast,Nonorganic Cane Sugar,White Rice,Brown Rice,White Potato all forms,Mint,Cinnamon,Fruit,Cucumber,Tomato,Natural Flavor,Sunflower oil,Sunflower Lecithin,Sunflower Seed,Garlic,Onion,Bell Pepper,Turmeric,Mustard,Cocoa or Chocolate,Red Dye,Yellow Dye,Alcohol,Pork,Chicken,Beef,Turkey,Phenylketonurics,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,
         Allergy Alerts                                                                                                                                                                                                                                      All deep fried items have cross contact risk                                                                    (All pasta has possible cross-contact w/eggs in manufacture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]used in all areas.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desserts available on purple Cart in Home area for Gluten Free and Top 8 free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Sizzle%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Taco Shells and Bowls are Fried. All fried items have Cross contact with other allergens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Casa Del Sol%,,,,,,All Fried Items fried in same fryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soy Sauce,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Choy Soy Sauce (Water, Salt, Hydrolyzed Soy Protein, Corn Syrup, Caramel Color, Potassium Sorbate (Preservative). Contains: Soy",,,,,,,,,,,,,,,,,,,,,,,,
Sweet Chili Sauce,,,,,,X,,,distilled,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,"Roland Fusion Sweet Chili Sauce (Water, Sugar, Red Jalapeno Peppers, Distilled Vinegar, Modified Cornstarch, Salt, contains 2% or less of Dehydrated Garlic, Dehydrated Red Peppers, Calcium Chloride, Acetic Acid.)",,,,,,,,,,,,,,,,,,,,,,,,
Stir-fry Sauce,,,,,,X,,X,,,,,,X,,,,X,X,,,,,,X,,,,,,citric acid,,,,,,,X,X,,,,,,,,,,,,,"Asian Menu Stir-Fry Sauce [Soy Sauce (Water, Wheat, Soybeans, Salt), Sugar, Water, Onions, Corn Starch, Xanthan Gum, Citric Acid, Garlic Puree (Dehydrated Garlic, Water), Roasted Sesame Seed Oil.]. Contains Soy, Wheat, Sesame",,,,,,,,,,,,,,,,,,,,,,,,
Teriyaki Sauce,,,,,,X,,,distilled,,,,,X,,,,,X,,,,,,X,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,"Kikkoman Teriyaki Glaze [Soy Sauce (Water, Soybeans, Wheat, Salt), Sugar, Water, Modified Corn Starch, Onion Juice, Vinegar, Natural Flavor, Garlic Powder, Malic Acid, Spice, Sodium Benzoate: Less Than ⅒ of 1% as a Preservative, Disodium Inosinate, Disodium Guanylate.]. Contains Soy, Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Garlic Sesame Sauce,,,,,,,,X,distilled,,,,,X,,,,X,X,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,"Asian Menu Sesame Garlic Sauce [Soy Sauce (Water, Wheat, Soybeans, Salt), Sugar, Water, Distilled Vinegar, Roasted Sesame Seed Oil, Chopped Garlic (Dehydrated Garlic, Water), Spice, Xanthan Gum.]. Contains Soy, Wheat, Sesame",,,,,,,,,,,,,,,,,,,,,,,,
Upon Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF Soy Free Stir Fry Sauce,,,,,,X,,,apple cider,,,,,,,,,,,,X,,,,,,,,,,lime,,,X,X,,,X,X,,,,,,,,,,,,,"Ocean’s Halo Kelp Based Gluten Free Stir-Fry Sauce: Water, Organic Sugar, Sea Salt, Organic Molasses, Organic Apple Cider Vinegar, Organic Ginger Juice, Organic Lime Juice, Organic Corn Starch, Organic Sunflower Oil, Natural Flavors, Organic Garlic*, Organic Onion*, Organic Kelp*, Organic Mushrooms*, Organic Red Pepper. *Dried",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Sooner Smokehouse% (all fried items cooked in same fryer) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,
Beef Brisket with Couch Pork Rub (3 oz.) ,,,,,,,,,,,,,,,,,,,,,,spice,,,,,,,,,,,,X,X,,,X,X,,,,,,,,,,X,,,"Beef Brisket, Montreal Steak Seasoning [Coarse Salt, Spices (Including Black Pepper and Red Pepper), Garlic, Onion, Sunflower Oil, Natural Flavor and Extractives of Paprika.]", , , ,,,,,,,,,,,,,,,,,,,,,
Pork Spareribs with Couch Pork Rub (2 ribs) ,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,citric acid,,,X,,,,X,X,,,X,,,#5 Lake,,X,,,,,"Patuxent Farms Pork St. Louis Shortribs Ribs [Pork], Couch Pork Rub [ Monarch Light Brown Sugar (Sugar, Molasses), Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda], Monarch Ground Mustard (Mustard Flour), Monarch Lemon Pepper [Salt, Black Pepper, Citric Acid, Dried Onion, Dried Garlic, Sugar, Silicon Dioxide Added to Prevent Caking, Yellow 5 Lake], Black Pepper, Monarch Onion Powder [Dehydrated Onion], Monarch Garlic Powder [Dehydrated Garlic], Spanish Paprika  [Paprika and less than 2% Silicon Dioxide to Prevent Caking.],", , , ,,,,,,,,,,,,,,,,,,,,,
Rotisserie Chicken ,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,citric acid,,,X,,,,X,X,,,,,,#5 Lake,,,X,,,,"Chicken (May contain up to 4% Retained water), Monarch Lemon Pepper Seasoning (Salt, Black Pepper, Citric Acid, Dried Onion, Dried Garlic, Sugar, Silicon Dioxide (to Prevent Caking) Yellow 5 Lake, Natural Flavor).",,,,,,,,,,,,,,,,,,,,,,,,
Pulled Pork,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,citric acid,,,X,,,,X,X,,,X,,,5 Lake,,X,,,,,"Patuxent Farms Bone-in Boston Pork Butt (Pork), Couch Pork Rub [ Monarch Light Brown Sugar (Sugar, Molasses), Monarch White Granulated Cane Sugar, Monarch Onion Powder [Dehydrated Onion], Monarch Garlic Granulated (Garlic), Ground Cayenne Pepper, Coarse Ground Black Pepper, Monarch Ground Mustard (Mustard Flour), Monarch Mild Chili Powder [Chili Pepper and Other Spices, Salt and Garlic Powder.], Ground Cumin, Ground Ginger, Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda]",,,,,,,,,,,,,,,,,,,,,,,,
Cheddar Jalapeno Sausage,,,,,,X,,X,,X,X,,,X,,,,,,,,,soy,,,,,,,,,,,,,,,X,,,,,,"F,D&C #3",,,X,,X,,,"Mountain View Meat Co. Jalapeno Cheddar Pork Sausage [Lean Pork, Beef Hearts, Pork Fat Trim, Pasteurized Processed Cheddar Cheese (Cultured Milk, Water, Cream, Skim Milk, Whey, Sodium Phosphates, Salt, Sorbic Acid, Vegetable Color, And Enzymes), Water, Salt, Jalapeno Peppers, Nonfat Dry Milk, Black Pepper, Corn Syrup Solids, Garlic, Spices, Dextrose, Sodium Chloride, Potassium Chloride, Monosodium Glutamate, Hydrolyzed Vegetable Protein (Soy), Silicone Dioxide, Sodium Nitrate, Tri-Calcium Phosphate, Red F, D And C #3]. Contains: Milk, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Smoked Sausage,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,"Patuxent Farms Natural Smoked Rope Sausage [Meat Ingredients (Pork, Beef), Water, Dextrose, Contains 2% or less of: Corn Syrup, Salt, Natural Flavors, Sodium Lactate, Vitamin C (Sodium Ascorbate), Sodium Diacetate, Sodium Nitrite, Extractives of Paprika.]",,,,,,,,,,,,,,,,,,,,,,,,
Hot Link,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,X,X,X,,,"Schwab Meats Co. All Meat Skinless Hot Link [Pork, Mechanically Separated Chicken Meat, Water, Beef, Seasoning (Spices, Mustard, Sodium Erythorbate (1.88%), Salt, Corn Syrup, Mustard, Sodium Acetate, Sodium Diacetate, Sodium Phosphate, Sodium Nitrite, Garlic",,,,,,,,,,,,,,,,,,,,,,,,
Build your own Burger Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breads [all bread toasted with Phase Soybean Butter Alternative [Liquid and Hydrogenated Soybean Oil, contains less than 2% of: Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene Color.]. Contains: Soybean Oil]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upon Request Vegan/Gluten Free Bun,,,,,,X,,,,,,,,,,,,,,X,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"Rotella’s Italian Bakery Vegan/Gluten Free Bun [Water, Food Starch Modified, Corn Starch, Potato Starch, Long Grain Milled Rice, Stabilized Rice Bran, Granulated Sugar, Yeast, Canola Oil, Faba Bean Protein, Organic Medium Invert Syrup, Tapioca Starch, Salt, Modified Cellulose, Psyllium Husk Powder, Xanthan Gum, Cultured Brown Rice, Brown Rice, Calcium Sulfate, Enzymes]",,,,,,,,,,,,,,,,,,,,,,,,
Upon Request Vegan/Gluten Free Bread,,,,,,X,,X,distilled,,,,,,,,,,,,,,,X,X,,X,X,,,raisin,,,,X,,X,,,,,,,,,,,,,,,"Chef’s Line 3oz Sliced Multigrain Seeded Gluten Free Bread [Water, Gluten Free Flour Blend (Modified Tapioca Starch, Corn Starch, Potato Starch, Brown Rice Flour), Sprouted Grain And Seed Blend (Sprouted Brown Rice Flour, Sprouted Red and White Quinoa, Sprouted White Quinoa Flour, Sprouted Sunflower Seeds, Sprouted Amaranth, Sprouted Amaranth Flour, Sprouted Millet, Gluten Free Sprouted Oats), Sunflower Oil, Psyllium Husk, Cane Sugar, Dextrose, Modified Cellulose, Yeast, Raisin Juice, Pea Hull Fiber, Vinegar, Salt, Rice Bran, Cultured Cane Sugar, Cellulose Gum.].  ",,,,,,,,,,,,,,,,,,,,,,,,
White Hamburger Bun,,,,,,,,X,,,,X,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hilltop Hearth White 4” Hamburger Bun [Enriched Wheat Flour (Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, High Fructose Syrup, Yeast, Soybean Oil, contains 2% or less of Each of The Following: Salt, Calcium Stearoyl-2 Lactylate, Sodium Stearoyl Lactylate, Monoglycerides, Calcium Sulfate, Calcium Peroxide, Calcium Carbonate, Ammonium Sulfate, Sorbic Acid, Enzymes, Calcium Propionate (To Preserve Freshness). Contains: Wheat]. Contains: Wheat and Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Hot Dog Bun,,,,,,,,X,,,,X,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rotella’s Italian Bakery White 5” Hotdog Bun [Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Fully Refined Soybean Oil, Yeast, Granulated Sugar, Wheat Gluten, Salt, Calcium Propionate (To Retain Freshness), Dough Improver (Malted Wheat Flour, Enzymes and 2% or less of ascorbic acid), Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin , Folic Acid), contains less than 2% of enzymes]. Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Texas Toast,,,,,,X,,X,,X,,X,X,X,,,,,X,,,,,X,X,,,,,,citric acid,,,X,,,,,X,,,,,,,,,,,,,"Hilltop Hearth Garlic Texas Toast [Bread: Wheat Flour Enriched (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, contains 2% or less of: Soybean Oil, Yeast, Salt, Sugar, Soy Flour, Malted Barley Flour, Wheat Gluten, Dextrose, Vegetable Protein, Enzymes, Ascorbic Acid, Corn Meal. Spread: Vegetable Oil Blend (Soybean, Palm), Water, Garlic, contains 2% or less of: Salt, Natural Flavors, Sweet Cream Buttermilk, Onion Powder, Spice, Monoglycerides, Soy Lecithin, Lactic Acid, Citric Acid, Beta-Carotene (For Color). Contains: Wheat, Soy, Milk]. Contains: Wheat, Milk, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Meats and Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Hamburger Patty ,,,,,,,,,,,,X,,X,,,,,,,,,soy,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,"Cattleman’s Selection Homestyle 81/19 4:1 Beef Patty (Beef). Added when busy: Molly’s Kitchen Beef Base [Roasted Beef and Beef Broth, Salt, Hydrolyzed Soy Protein, Maltodextrin, Sugar, Soybean Oil, Flavorings, Caramel Color, Disodium Inosinate, Disodium Guanylate. Contains: Soy],",,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Burger,,,,,X,X,,X,apple cider,,,,,X,,,,,X,,X,,,,,,X,,,,,,,,X,X,,X,X,X,,,,,,,,,,,,"Chef’s Line 3-Grain Burger [Water, Black Beans, Mushrooms, Textured Soy Flour, Onion, Bulgur Wheat, Roasted Red Peppers, Corn, Apple Cider Vinegar - 5% Acidity (Apple Juice, Water), Brown Rice, Oats, Expeller Pressed Canola Oil, Corn Starch, Green Bell Pepper, Salt, Xanthan Gum, Jalapeno Peppers, Quinoa, Garlic Powder, Black Pepper, Parsley Flakes, Rosemary Oleoresin], Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant] Contains: Soy, Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Grilled Chicken Breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,"Tyson Tenderpressed 5oz Boneless- Skinless Chicken Breast [Chicken containing up to 15% of a Solution of Water and Sea Salt], Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]",,,,,,,,,,,,,,,,,,,,,,,,
Turkey Patty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,"Chef’s Line Savory Seasoned Turkey Burger [Turkey Breast and Drumstick, Garlic Powder, Sea Salt, Onion Powder, Natural Flavoring]",,,,,,,,,,,,,,,,,,,,,,,,
Shredded Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,"Couch's Chicken Tinga {#9646910 Koch Boneless Skinless Chicken Thigh [Fryer Chicken Thighs Boneless, Skinless Halal Certified X000d Slaughtered According to Islamic Rules Contains Up To 3% Retained Water], Monarch Garlic Powder (Dehydrated Garlic), Monarch Onion Powder (Dehydrated Onion), Monarch Mild Chili Powder (Chili Pepper and other Spices, Salt, Garlic Powder), Morton Coarse Kosher Salt [Salt, Yellow Prussiate Of Soda (Anti-Caking Agent)], Water",,,,,,,,,,,,,,,,,,,,,,,,
Hot Dog (may cause problems for a new Celiac due to presence of Sorbitol. ),,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,X,,,"Patuxent Farms All-Beef 5:1 Hot Dog [Beef, Water, Sorbitol, Salt, Flavorings, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite, Extract of Paprika.]. May cause problems for new Celiac’s due to presence of Sorbitol. Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant].  ",,,,,,,,,,,,,,,,,,,,,,,,
BBQ Chicken Wings,,,,,,X,,X,distilled,,,,,,,,,,,,,,,,X,X,,,,,,,X,X,,,,X,X,,,X,,,,,,X,,,,"Tyson Oven Roasted Jumbo Chicken Wing [Chicken Wing Sections, Water, contains 2% or less of the following: Corn Starch, Salt, Sodium Phosphates, Modified Food Starch, Dextrose, Tapioca Starch, Dextrin, Rice Flour, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Natural Flavor, Blanched In Vegetable Oil.], Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant], Head Country BBQ Sauce Mild [Tomato Puree (Water, Tomato Paste), Sugar, Vinegar, Liquid Hickory Smoke, Salt, Worcestershire Sauce (Distilled Vinegar, Molasses, Corn Syrup, Water, Salt, Caramel Color, Garlic Powder, Sugar, Spices, Tamarind, Natural Flavor), Spices (Contains Mustard Flour), Onion Powder, Molasses, Natural Flavor, Garlic Powder. No Glutens, No High Fructose Corn Syrup",,,,,,,,,,,,,,,,,,,,,,,,
Cheeses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,  , ,,,,,,,,,,,,,,,,,,,,,
 American Cheese (1 oz.),,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,citric acid,,,,,,,,,,,,,,,,,,,,,"#3340817 Glenview Farms .5oz Sliced American Cheese [Milk, Cream, Water, Sodium Citrate, Salt, Cheese Culture, Sorbic Acid (Preservative), Citric Acid, Enzymes, Soy Lecithin, Color Added. Contains: Milk, Soy]",,,,,,,,,,,,,,,,,,,,,,,,
Swiss American Cheese (1 oz.),,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,citric acid,,,,,,,,,,,,,,,,,,,,,"#5675079 Glenview Farms .5oz Sliced Swiss American Cheese [Milk and Part-Skim Milk, Cream, Water, Sodium Citrate, Salt, Cheese Culture, Citric Acid, Sorbic Acid (Preservative), Enzymes, Soy Lecithin. Contains: Milk, Soy]",,,,,,,,,,,,,,,,,,,,,,,,
Pepper Jack Cheese,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#4996955 Glenview Farms Pepper Jack Cheese [Pepper Jack Cheese (Monterey Jack Cheese [Pasteurized Milk, Jalapeno Peppers, Cheese Culture, Salt, Enzymes]). Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
 Cheddar Cheese Slice (.75 oz. or 1 slice),,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,annatto,,,,,,,,,,,,,,,,,,,,,"#4985693 Glenview Farms .75oz Sliced Mild Cheddar Cheese Slice [Cheddar Cheese [Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto (Vegetable Color).] Contains: Milk", , ,,,,,,,,,,,,,,,,,,,,,,
Glenview Farms Swiss Cheese (0.75 oz.),,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#4996989 Glenview Farms Swiss Cheese Sliced [Pasteurized Part Skim Milk, Cheese Cultures, Salt, Enzymes.]",,,,,,,,,,,,,,,,,,,,,,,,
Smoked Provolone Sliced (.75oz or 1 slice),,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roseli Smoked Provolone .75oz Sliced Cheese [Smoked Provolone Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, with Smoke Flavor Added)]. Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
Sauces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual dressings Heinz Mayonnaise,,X,,,,X,,,Distilled ,,,X,,,,,,,,,,,,,,,,,,,lemon,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual dressings Heinz Mustard,,,,,,,,,distilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French’s Classic Yellow Mustard Squeeze btl,,,,,,,,,distilled,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,X,X,,,,,,,,,,"Distilled Vinegar, Water, #1 Grade Mustard Seed, Salt, Turmeric, Paprika, Spice, Natural Flavor, Garlic Powder",,,,,,,,,,,,,,,,,,,,,,,,
Hellmann’s Real Mayonnaise Squeeze Btl ,,X,,,,,,,distilled,,,X,,,,,,,,,,,,,X,,,,,,lemon,,,X,,,,,,,,,,,,,,,,,,"Soybean Oil, Water, Whole Eggs and Egg Yolks, Distilled Vinegar, Salt, Sugar, Lemon Juice Concentrate, Calcium Disodium EDTA (Used to Protect Quality), Natural Flavors",,,,,,,,,,,,,,,,,,,,,,,,
Ketchup,,,,,,X,,,distilled,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,"Heinz Ketchup Dispenser Pouch [Tomato Concentrate from Red Ripe Tomatoes, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Salt, Spice, Onion Powder, Natural Flavoring.]",,,,,,,,,,,,,,,,,,,,,,,,
Bulls-Eye BBQ Sauce Cup ,,,,,,X,,X,distilled,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,X,X,,,X,,,,,,,,,,"Tomato Puree Water, Tomato Paste, Sugar, Molasses, Vinegar, contains less than 2% of Modified Food Starch, Salt, Natural Smoke Flavor, Mustard Flour, Dried Onions, Dried Garlic, Spice, Potassium Sorbate to Preserve Freshness.",,,,,,,,,,,,,,,,,,,,,,,,
Sweet Baby Rays Original BBQ Sauce ,,,,,,X,,,distilled,,,,,,,,,,,,,,,,X,,,,,,pineapple,,X,X,,,,X,,,,X,,,,,,,,,,"High Fructose Corn Syrup, Distilled Vinegar, Tomato Paste, Modified Corn Starch, Contains Less Than 2% of:  Salt, Pineapple Juice Concentrate, Natural Smoke Flavor, Spice, Caramel Color, Molasses, Sodium Benzoate (Preservative), Garlic, Mustard Flour, Corn Syrup, *Sugar, Tamarind, Natural Flavor, Celery Seed. *Dried",,,,,,,,,,,,,,,,,,,,,,,,
Head Country BBQ Sauce Mild (2 Tbsp) (spice),,,,,,X,,,distilled,,,,,,,,,,,,,,,,X,,,,,,,,X,X,,,,X,X,,,X,,,,,,,,,,"Head Country BBQ Sauce Mild [Tomato Puree (Water, Tomato Paste), Sugar, Vinegar, Liquid Hickory Smoke, Salt, Worcestershire Sauce (Distilled Vinegar, Molasses, Corn Syrup, Water, Salt, Caramel Color, Garlic Powder, Sugar, Spices, Tamarind, Natural Flavor), Spices (Contains Mustard Flour), Onion Powder, Molasses, Natural Flavor, Garlic Powder. No Glutens, No High Fructose Corn Syrup",,,,,,,,,,,,,,,,,,,,,,,,
Toppings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Leaf Lettuce (2.5 oz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shredded lettuce,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Sliced Red Onions (3.5 oz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,sliced red onions,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Sliced Tomatoes (5.2 oz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,sliced tomatoes,,,,,,,,,,,,,,,,,,,,,,,,
Wright's Smoked Bacon,,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,"Pork (Cured with Water, Salt, Sugar, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite)",,,,,,,,,,,,,,,,,,,,,,,,
Jalapeno Peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalapeno Peppers,,,,,,,,,,,,,,,,,,,,,,,,
Green Chiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citric acid,,,,,,,,,,,,,,,,,,,,,"Embasa Fire Roasted Mild Diced Green Chiles [Green Chiles, Water, contains 2% or less of: Salt, Citric Acid (to Acidify), Calcium Chloride (Firming)].",,,,,,,,,,,,,,,,,,,,,,,,
Fried Egg,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,"Egg, Phase Soybean Butter Alternative [Liquid and Hydrogenated Soybean Oil, contains less than 2% of: Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene Color.], Contains Egg, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
